1학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김민준
1학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이서준
1학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박예준
1학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김도윤
1학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이시우
1학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박주원
1학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김하준
1학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이지호
1학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박지후
1학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김준서
2학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김준우
2학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이현우
2학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박도현
2학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김지훈
2학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이건우
2학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박우진
2학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김선우
2학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이서진
2학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박민재
3학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김현준
3학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이연우
3학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박유준
3학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김승우
3학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이승현
3학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박시윤
3학년 김씨 중에서 가장 높은 성적을 받은 이의 이름 : 김준혁
3학년 이씨 중에서 가장 높은 성적을 받은 이의 이름 : 이은우
3학년 박씨 중에서 가장 높은 성적을 받은 이의 이름 : 박지환
